■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2022-01-20,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202101~202106   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2021년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
174,라보엠,2014-12-20,"1,264,000",0.0%,"70,566,000",112,"4,725",1,6,독일,독일,(주)쓰리캣프로덕션
174,그녀에게,2003-04-18,"753,000",0.0%,"54,123,252",112,"7,262",1,8,스페인,스페인,"판씨네마(주),(주)미로비젼"
176,러빙 빈센트,2017-11-09,"888,000",0.0%,"3,366,939,671",111,"421,601",2,3,영국,"영국,폴란드","(주)스튜디오디에이치엘,판씨네마(주)"
177,레이니 데이 인 뉴욕,2020-05-06,"1,080,000",0.0%,"809,064,200",108,"92,004",1,2,미국,미국,"그린나래미디어(주),(주)버킷스튜디오"
177,파 프롬 베트남,,"769,000",0.0%,"1,215,500",108,248,1,2,프랑스,프랑스,
179,롤라,2019-08-22,"734,000",0.0%,"6,825,500",107,851,1,12,프랑스,"프랑스,이탈리아",(주)에스와이코마드
180,5인의 해병,,"265,000",0.0%,"9,386,000",106,"4,661",1,9,한국,한국,
181,바람의 이야기,,"732,000",0.0%,"852,000",103,125,1,2,프랑스,"프랑스,네덜란드,영국,서독",
181,죽어도 좋은 경험: 천사여 악녀가 되라,2021-07-15,"927,000",0.0%,"927,000",103,103,1,1,한국,한국,주식회사 블루필름웍스
181,아일라,2018-06-21,"103,000",0.0%,"332,635,900",103,"43,845",1,1,터키,터키,(주)영화사 빅
184,브리짓 존스의 일기,2001-09-01,"867,510",0.0%,"72,947,240",102,"11,040",17,34,영국,영국,"(주)제이앤씨미디어그룹,UIP코리아"
